2026-02-07 13:28:17 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:28:42 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:28:58 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:29:39 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:29:42 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:29:53 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:30:07 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:30:12 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:30:48 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:31:03 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:31:29 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:31:54 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:32:00 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:32:00 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:32:30 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:32:33 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:32:33 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:32:33 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:32:44 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:34:09 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:34:12 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:35:14 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:35:18 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:35:18 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:35:57 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:36:02 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
