2026-02-07 13:43:05 | INFO    | network | log_manager | NETWORK_INFO|/shorten| MESSAGE: Полученн запрос на сокращение| DATA: {'payload': ShortenRequest(url=HttpUrl('https://example.com/very/long/path'))}
2026-02-07 13:43:05 | INFO    | network | log_manager | NETWORK_INFO|/shorten| MESSAGE: Полученн запрос на сокращение| DATA: {'payload': ShortenRequest(url=HttpUrl('https://test.com/'))}
2026-02-07 13:43:05 | INFO    | network | log_manager | NETWORK_INFO|/shorten| MESSAGE: Полученн запрос на сокращение| DATA: {'payload': ShortenRequest(url=HttpUrl('https://counter.test/'))}
2026-02-07 13:43:31 | INFO    | network | log_manager | NETWORK_INFO|/shorten| MESSAGE: Полученн запрос на сокращение| DATA: {'payload': ShortenRequest(url=HttpUrl('https://example.com/very/long/path'))}
2026-02-07 13:43:31 | INFO    | network | log_manager | NETWORK_INFO|/shorten| MESSAGE: Полученн запрос на сокращение| DATA: {'payload': ShortenRequest(url=HttpUrl('https://test.com/'))}
2026-02-07 13:43:31 | INFO    | network | log_manager | NETWORK_INFO|/shorten| MESSAGE: Полученн запрос на сокращение| DATA: {'payload': ShortenRequest(url=HttpUrl('https://counter.test/'))}
2026-02-07 13:43:31 | INFO    | network | log_manager | NETWORK_INFO|/AhmIHkD| MESSAGE: Просмотр статистики ссылки| DATA: {'short_code': 'AhmIHkD', 'clicks': 7}
2026-02-07 13:43:31 | INFO    | network | log_manager | NETWORK_INFO|/AhmIHkD| MESSAGE: Просмотр статистики ссылки| DATA: {'short_code': 'AhmIHkD', 'clicks': 8}
2026-02-07 13:43:31 | INFO    | network | log_manager | NETWORK_INFO|/AhmIHkD| MESSAGE: Просмотр статистики ссылки| DATA: {'short_code': 'AhmIHkD', 'clicks': 9}
2026-02-07 13:44:08 | INFO    | network | log_manager | NETWORK_INFO|/shorten| MESSAGE: Полученн запрос на сокращение| DATA: {'payload': ShortenRequest(url=HttpUrl('https://example.com/very/long/path'))}
2026-02-07 13:44:08 | INFO    | network | log_manager | NETWORK_INFO|/shorten| MESSAGE: Полученн запрос на сокращение| DATA: {'payload': ShortenRequest(url=HttpUrl('https://test.com/'))}
2026-02-07 13:44:08 | INFO    | network | log_manager | NETWORK_INFO|/GLiTP3| MESSAGE: Просмотр статистики ссылки| DATA: {'short_code': 'GLiTP3', 'clicks': 8}
2026-02-07 13:44:08 | INFO    | network | log_manager | NETWORK_INFO|/shorten| MESSAGE: Полученн запрос на сокращение| DATA: {'payload': ShortenRequest(url=HttpUrl('https://counter.test/'))}
2026-02-07 13:44:08 | INFO    | network | log_manager | NETWORK_INFO|/AhmIHkD| MESSAGE: Просмотр статистики ссылки| DATA: {'short_code': 'AhmIHkD', 'clicks': 11}
2026-02-07 13:44:08 | INFO    | network | log_manager | NETWORK_INFO|/AhmIHkD| MESSAGE: Просмотр статистики ссылки| DATA: {'short_code': 'AhmIHkD', 'clicks': 12}
2026-02-07 13:44:08 | INFO    | network | log_manager | NETWORK_INFO|/AhmIHkD| MESSAGE: Просмотр статистики ссылки| DATA: {'short_code': 'AhmIHkD', 'clicks': 13}
